x, y, z, u
0.74, 0.44, 0, 0.12572
0.76, 0.44, 0, 0.118409
0.78, 0.44, 0, 0.110584
0.8, 0.44, 0, 0.10227
0.82, 0.44, 0, 0.0934917
0.84, 0.44, 0, 0.0842813
0.86, 0.44, 0, 0.0746734
0.88, 0.44, 0, 0.0647067
0.9, 0.44, 0, 0.0544239
0.92, 0.44, 0, 0.0438716
0.94, 0.44, 0, 0.0330992
0.96, 0.44, 0, 0.0221593
0.98, 0.44, 0, 0.0111063
0.02, 0.48, 0, 0.0129028
0.04, 0.48, 0, 0.0257396
0.06, 0.48, 0, 0.0384365
0.08, 0.48, 0, 0.0509264
0.1, 0.48, 0, 0.0631455
0.12, 0.48, 0, 0.0750338
0.14, 0.48, 0, 0.0865362
0.16, 0.48, 0, 0.0976029
0.18, 0.48, 0, 0.108189
0.2, 0.48, 0, 0.118256
0.22, 0.48, 0, 0.12777
0.24, 0.48, 0, 0.136703
0.26, 0.48, 0, 0.145031
0.28, 0.48, 0, 0.152734
0.3, 0.48, 0, 0.159797
0.32, 0.48, 0, 0.166208
0.34, 0.48, 0, 0.171961
0.36, 0.48, 0, 0.177048
0.38, 0.48, 0, 0.181461
0.4, 0.48, 0, 0.185198
0.42, 0.48, 0, 0.188258
0.44, 0.48, 0, 0.190639
0.46, 0.48, 0, 0.19234
0.48, 0.48, 0, 0.193358
0.5, 0.48, 0, 0.193696
0.52, 0.48, 0, 0.193354
0.54, 0.48, 0, 0.192331
0.56, 0.48, 0, 0.190628
0.58, 0.48, 0, 0.188249
0.6, 0.48, 0, 0.185193
0.62, 0.48, 0, 0.18146
0.64, 0.48, 0, 0.177051
0.66, 0.48, 0, 0.17197
0.68, 0.48, 0, 0.166221
0.7, 0.48, 0, 0.15981
0.72, 0.48, 0, 0.152746
0.74, 0.48, 0, 0.145043
0.76, 0.48, 0, 0.136715
0.78, 0.48, 0, 0.127781
0.8, 0.48, 0, 0.118266
0.82, 0.48, 0, 0.108198
0.84, 0.48, 0, 0.0976111
0.86, 0.48, 0, 0.0865433
0.88, 0.48, 0, 0.0750397
0.9, 0.48, 0, 0.0631503
0.92, 0.48, 0, 0.0509302
0.94, 0.48, 0, 0.0384393
0.96, 0.48, 0, 0.0257414
0.98, 0.48, 0, 0.0129037
0.02, 0.52, 0, 0.0149822
0.04, 0.52, 0, 0.0298812
0.06, 0.52, 0, 0.0446046
0.08, 0.52, 0, 0.0590688
0.1, 0.52, 0, 0.0731951
0.12, 0.52, 0, 0.0869107
0.14, 0.52, 0, 0.10015
0.16, 0.52, 0, 0.112855
0.18, 0.52, 0, 0.124975
0.2, 0.52, 0, 0.136467
0.22, 0.52, 0, 0.147295
0.24, 0.52, 0, 0.157432
0.26, 0.52, 0, 0.166854
0.28, 0.52, 0, 0.175544
0.3, 0.52, 0, 0.183491
0.32, 0.52, 0, 0.190685
0.34, 0.52, 0, 0.197124
0.36, 0.52, 0, 0.202805
0.38, 0.52, 0, 0.207725
0.4, 0.52, 0, 0.211885
0.42, 0.52, 0, 0.215285
0.44, 0.52, 0, 0.217928
0.46, 0.52, 0, 0.219812
0.48, 0.52, 0, 0.22094
0.5, 0.52, 0, 0.221315
0.52, 0.52, 0, 0.220935
0.54, 0.52, 0, 0.219801
0.56, 0.52, 0, 0.217912
0.58, 0.52, 0, 0.215268
0.6, 0.52, 0, 0.211872
0.62, 0.52, 0, 0.20772
0.64, 0.52, 0, 0.202806
0.66, 0.52, 0, 0.197131
0.68, 0.52, 0, 0.190695
0.7, 0.52, 0, 0.183502
0.72, 0.52, 0, 0.175555
0.74, 0.52, 0, 0.166865
0.76, 0.52, 0, 0.157442
0.78, 0.52, 0, 0.147305
0.8, 0.52, 0, 0.136476
0.82, 0.52, 0, 0.124983
0.84, 0.52, 0, 0.112862
0.86, 0.52, 0, 0.100157
0.88, 0.52, 0, 0.0869164
0.9, 0.52, 0, 0.0731998
0.92, 0.52, 0, 0.0590727
0.94, 0.52, 0, 0.0446075
0.96, 0.52, 0, 0.0298831
0.98, 0.52, 0, 0.0149831
0.02, 0.56, 0, 0.0174161
0.04, 0.56, 0, 0.0347255
0.06, 0.56, 0, 0.0518098
0.08, 0.56, 0, 0.0685631
0.1, 0.56, 0, 0.0848872
